{\rtf1\ansi\ansicpg1252\cocoartf2818
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 student_id,attendance_rate,test_score,homework_completion,participation_score,study_hours,previous_grade,at_risk\
S12345,0.62,58,0.45,45,2.5,55,true\
S12346,0.70,64,0.52,50,3.0,60,true\
S12347,0.78,72,0.68,65,4.5,68,true\
S12348,0.82,75,0.70,70,5.0,72,false\
S12349,0.95,88,0.92,90,8.0,85,false\
S12350,0.65,60,0.50,48,2.0,58,true\
S12351,0.88,82,0.85,82,6.5,80,false\
S12352,0.91,90,0.95,92,9.0,88,false\
S12353,0.55,52,0.40,40,1.5,50,true\
S12354,0.75,70,0.72,68,4.0,65,false\
S12355,0.80,78,0.75,75,5.5,74,false\
S12356,0.68,62,0.55,52,3.5,60,true\
S12357,0.93,92,0.90,88,8.5,90,false\
S12358,0.60,56,0.48,44,2.0,54,true\
S12359,0.85,80,0.82,80,6.0,78,false\
S12360,0.72,68,0.65,60,4.0,66,false\
S12361,0.58,54,0.42,42,1.8,52,true\
S12362,0.90,85,0.88,85,7.0,82,false\
S12363,0.77,74,0.70,72,5.0,70,false\
S12364,0.64,59,0.50,46,2.5,56,true\
S12365,0.95,94,0.96,95,9.5,92,false\
S12366,0.67,63,0.58,54,3.0,62,true\
S12367,0.83,79,0.80,78,6.0,76,false\
S12368,0.56,50,0.38,38,1.5,48,true\
S12369,0.89,86,0.87,84,7.5,84,false\
S12370,0.74,71,0.68,66,4.5,69,false\
S12371,0.61,57,0.46,43,2.0,55,true\
S12372,0.92,89,0.91,90,8.0,87,false\
S12373,0.79,76,0.74,74,5.5,73,false\
S12374,0.66,61,0.53,50,3.0,59,true\
S12375,0.87,83,0.84,81,6.5,81,false\
S12376,0.70,67,0.62,58,3.5,64,false\
S12377,0.59,55,0.44,41,1.8,53,true\
S12378,0.94,91,0.93,91,8.5,89,false\
S12379,0.76,73,0.71,69,4.8,71,false\
S12380,0.63,58,0.49,45,2.2,57,true\
S12381,0.86,81,0.83,79,6.2,79,false\
S12382,0.81,77,0.77,76,5.8,75,false\
S12383,0.57,53,0.41,39,1.6,51,true\
S12384,0.96,95,0.97,96,10.0,94,false\
S12385,0.69,65,0.60,56,3.2,63,true\
S12386,0.84,80,0.81,77,6.0,78,false\
S12387,0.73,69,0.66,62,4.2,67,false\
S12388,0.62,59,0.47,44,2.0,56,true\
S12389,0.88,84,0.86,83,7.0,82,false\
S12390,0.78,75,0.73,71,5.2,73,false\
S12391,0.60,56,0.45,42,1.9,54,true\
S12392,0.91,87,0.89,86,7.5,85,false\
S12393,0.75,72,0.69,67,4.6,70,false\
S12394,0.64,60,0.51,47,2.4,58,true}
